Матрица простой структуры,,,,,,,,N = 100
α,β,||A||,||A^-1||,ν(A),||Z||,ζ,||R||,||R_gen||
1,10,719.965,631.88,454931,3.88685e-08,6.15125e-11,7.63415e-09,9.78455e-12
1,100,7929.62,3085.97,2.44705e+07,3.43694e-09,1.11373e-12,4.66381e-10,5.62414e-11
1,1000,80026.1,4750.36,3.80153e+08,9.73953e-08,2.05027e-11,5.60993e-09,5.57277e-10
1,10000,800991,5018.37,4.01967e+09,3.99274e-07,7.95624e-11,8.44779e-08,6.33969e-09
1,100000,8.01064e+06,5046.82,4.04283e+10,1.67133e-05,3.31164e-09,7.6492e-07,6.87224e-08
1,1e+06,8.01072e+07,5049.68,4.04516e+11,0.000103774,2.05507e-08,7.91068e-06,7.24574e-07
1,1e+07,8.01072e+08,5049.97,4.04539e+12,0.000532473,1.05441e-07,7.29629e-05,7.25761e-06
1,1e+08,8.01073e+09,5050,4.04541e+13,0.0072043,1.42659e-06,0.000930699,9.92958e-05
1,1e+09,8.01073e+10,5050,4.04542e+14,0.129214,2.5587e-05,0.00864569,0.00102001
1,1e+10,8.01073e+11,5050,4.04542e+15,0.493068,9.76372e-05,0.0781422,0.00674845
1,1e+11,8.01073e+12,5050,4.04542e+16,4.79499,0.000949503,0.726646,0.0661368
1,1e+12,8.01073e+13,5050,4.04542e+17,115.647,0.0229003,7.29776,0.622751
1,1e+13,8.01073e+14,5050,4.04542e+18,886.556,0.175556,70.8117,8.46295
Матрица простой структуры,,,,,,,,N = 100
α,β,||A||,||A^-1||,ν(A),||Z||,ζ,||R||,||R_gen||
0.1,1,71.9965,6318.8,454931,3.88794e-07,6.15298e-11,7.63412e-09,7.88727e-12
0.01,1,79.2962,308597,2.44705e+07,1.0876e-06,3.52434e-12,7.78115e-10,9.39637e-11
0.001,1,80.0261,4.75036e+06,3.80153e+08,0.000103551,2.17985e-11,6.03354e-09,8.74428e-10
0.0001,1,80.0991,5.01837e+07,4.01967e+09,0.00698489,1.39186e-10,1.04457e-07,1.18204e-08
1e-05,1,80.1064,5.04682e+08,4.04283e+10,1.02388,2.02877e-09,7.81585e-07,1.8998e-07
1e-06,1,80.1072,5.04968e+09,4.04516e+11,140.436,2.78109e-08,7.83766e-06,7.12471e-07
1e-07,1,80.1072,5.04997e+10,4.04539e+12,4945.59,9.79332e-08,0.000105947,1.13028e-05
1e-08,1,80.1073,5.05e+11,4.04541e+13,3.31801e+06,6.57031e-06,0.000853266,0.000219403
1e-09,1,80.1073,5.05e+12,4.04542e+14,2.89923e+08,5.74105e-05,0.0074127,0.00183448
1e-10,1,80.1073,5.05e+13,4.04542e+15,4.84477e+10,0.000959361,0.124326,0.0221913
1e-11,1,80.1073,5.05e+14,4.04542e+16,1.79269e+12,0.00354989,0.852973,0.0857859
1e-12,1,80.1073,5.05e+15,4.04542e+17,1.78911e+14,0.035428,10.5923,0.646872
1e-13,1,80.1073,5.05e+16,4.04542e+18,1.02643e+16,0.203253,62.4014,26.73
Матрица с жордановой клеткой,,,,,,,,N = 100
α,β,||A||,||A^-1||,ν(A),||Z||,ζ,||R||,||R_gen||
1,10,84247.8,15892.8,1.33894e+09,2.81184e-06,1.76925e-10,2.79539e-08,5.95243e-09
1,100,787931,8414.67,6.63018e+09,2.16988e-06,2.57869e-10,1.13475e-07,9.72325e-09
1,1000,7.82849e+06,9858.73,7.7179e+10,2.72895e-05,2.76805e-09,1.52195e-06,7.3311e-08
1,10000,7.82351e+07,10072.1,7.87995e+11,0.000382636,3.79896e-08,7.44551e-06,1.00287e-06
1,100000,7.82301e+08,10094.5,7.89694e+12,0.00490847,4.86252e-07,9.21046e-05,8.21243e-06
1,1e+06,7.82297e+09,10096.8,7.89865e+13,0.163444,1.61878e-05,0.00126297,8.69881e-05
1,1e+07,7.82296e+10,10097,7.89882e+14,0.409929,4.05992e-05,0.0110291,0.000780972
1,1e+08,7.82296e+11,10097,7.89884e+15,0.426946,4.22845e-05,0.081374,0.00786725
1,1e+09,7.82296e+12,10097,7.89884e+16,44.3768,0.00439505,0.706512,0.0821214
1,1e+10,7.82296e+13,10097,7.89884e+17,229.909,0.02277,5.11973,0.712005
1,1e+11,7.82296e+14,10097,7.89884e+18,1147.27,0.113625,64.26,7.64306
Матрица с жордановой клеткой,,,,,,,,N = 100
α,β,||A||,||A^-1||,ν(A),||Z||,ζ,||R||,||R_gen||
0.1,1,8424.78,512675,4.31917e+09,3.43928e-05,6.7085e-11,9.07721e-08,7.3878e-09
0.01,1,7879.31,5.08266e+07,4.00478e+11,2.30942,4.54373e-08,4.25328e-06,5.01042e-07
0.001,1,7828.49,5.05381e+09,3.95637e+13,19933.9,3.94433e-06,0.000549769,7.43349e-05
0.0001,1,7823.51,5.0495e+11,3.95048e+15,6.59022e+08,0.00130512,0.094644,0.00632821
1e-05,1,7823.01,5.04905e+13,3.94988e+17,4.33685e+12,0.0858945,4.95469,0.691977
1e-06,1,7822.97,5.04901e+15,3.94982e+19,4.5568e+15,0.902515,60.3829,58.1829
